time,vehicle,category,severity,message
15:05:02,Drone 1,COMMAND,SUCCESS,"เลือก Head อัตโนมัติ → Drone 1"
15:05:02,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.9 bat=99% sat=12"
15:05:03,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-1.0 bat=99% sat=12"
15:05:04,Drone 1,STATUS,INFO,"PING 4 ms · ICMP"
15:05:05,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-1.0 bat=99% sat=12"
15:05:06,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.9 bat=99% sat=12"
15:05:08,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:09,Drone 1,STATUS,INFO,"PING 5 ms · ICMP"
15:05:09,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:11,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:12,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.7 bat=99% sat=13"
15:05:14,Drone 1,STATUS,INFO,"PING 9 ms · ICMP"
15:05:14,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:15,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:17,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:18,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.8 bat=99% sat=13"
15:05:19,Drone 1,STATUS,INFO,"PING 30 ms · ICMP"
15:05:20,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-0.9 bat=99% sat=13"
15:05:21,Drone 1,TELEMETRY,INFO,"READY ALT_HOLD alt=-1.0 bat=99% sat=13"
15:05:23,Drone 1,COMMAND,INFO,"MODE GUIDED → 1"
15:05:23,System,COMMAND,INFO,"MODE GUIDED: ok=True 1 drone(s) ACCEPTED"
15:05:23,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.1 bat=99% sat=13"
15:05:24,Drone 1,STATUS,INFO,"PING 64 ms · ICMP"
15:05:24,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.1 bat=99% sat=13"
15:05:26,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.1 bat=99% sat=13"
15:05:27,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=12"
15:05:29,Drone 1,STATUS,INFO,"PING 2 ms · ICMP"
15:05:29,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=12"
15:05:30,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=12"
15:05:32,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=12"
15:05:33,System,COMMAND,INFO,"SERVO B CH8 — สั่ง (PWM 1950) · 1 ลำ [RC7=1050 RC8=900 · SV7=0 SV8=900]"
15:05:33,System,COMMAND,INFO,"SERVO B D1: FAILED — ไม่ได้รับคำตอบจาก core (ดู log ของ core)"
15:05:33,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=12"
15:05:34,Drone 1,STATUS,INFO,"PING 11 ms · ICMP"
15:05:35,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=12"
15:05:36,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=12"
15:05:38,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=11"
15:05:39,Drone 1,STATUS,INFO,"PING 5 ms · ICMP"
15:05:39,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=11"
15:05:41,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.6 bat=99% sat=12"
